date,day_of_week,is_weekend,is_public_holiday,total_arrivals,total_required_nurses,total_staffed_nurses,total_regular_hours,total_overtime_hours,total_locum_hours,total_payroll_cost_zar,total_unfilled_shifts
2025-08-14,Thursday,False,False,85.0,19,19,152.0,0.0,0.0,26597.02,0
2025-08-15,Friday,False,False,61.0,15,15,120.0,0.0,0.0,20538.6,0
2025-08-16,Saturday,True,False,67.0,16,16,128.0,0.0,0.0,24261.46,0
2025-08-17,Sunday,True,False,63.0,15,15,120.0,0.0,0.0,21543.84,0
2025-08-18,Monday,False,False,72.0,17,17,136.0,0.0,0.0,21315.68,0
2025-08-19,Tuesday,False,False,77.0,18,18,144.0,0.0,0.0,22049.04,0
2025-08-20,Wednesday,False,False,91.0,21,21,168.0,0.0,0.0,28153.16,0
2025-08-21,Thursday,False,False,79.0,19,19,152.0,0.0,0.0,24486.64,0
2025-08-22,Friday,False,False,70.0,17,17,136.0,0.0,0.0,22225.04,0
2025-08-23,Saturday,True,False,63.0,15,15,120.0,0.0,0.0,23640.62,0
2025-08-24,Sunday,True,False,65.0,15,15,120.0,0.0,0.0,23588.56,0
2025-08-25,Monday,False,False,78.0,18,18,144.0,0.0,0.0,21618.76,0
2025-08-26,Tuesday,False,False,90.0,21,21,168.0,0.0,0.0,24496.98,0
2025-08-27,Wednesday,False,False,73.0,17,17,136.0,0.0,0.0,24004.3,0
2025-08-28,Thursday,False,False,72.0,17,17,136.0,0.0,0.0,23439.64,0
2025-08-29,Friday,False,False,69.0,17,17,136.0,0.0,0.0,23961.52,0
2025-08-30,Saturday,True,False,48.0,11,11,88.0,0.0,0.0,16960.44,0
2025-08-31,Sunday,True,False,66.0,15,15,120.0,0.0,0.0,23960.44,0
2025-09-01,Monday,False,False,87.0,20,20,160.0,0.0,0.0,25134.38,0
2025-09-02,Tuesday,False,False,73.0,17,17,136.0,0.0,0.0,19350.14,0
2025-09-03,Wednesday,False,False,68.0,16,16,128.0,0.0,0.0,24395.98,0
2025-09-04,Thursday,False,False,80.0,19,19,152.0,0.0,0.0,25466.72,0
